Customer,Lift Date,Net Gallons,Terminal,Product,Gross Gallons,Temp (F),API Gravity,Sell Price,Unit Cost
Cardinal Oil & Propane,2025-06-04 07:37:00,168.94,Linden,ULSD,169.09,61.2,36.08,2.4129,2.4046
Keystone Distributors,2025-06-04 08:09:00,150.08,Providence,ULSD,150.34,62.4,35.53,2.4196,2.4046
Atlantic Distributors,2025-06-04 10:43:00,200.37,Providence,ULSD,200.31,59.6,35.53,2.4167,2.4046
Granite Oil Co,2025-06-04 10:49:00,187.55,Providence,RBOB,186.77,55.6,60.14,2.2832,2.2609
Cardinal Heating Oil Inc,2025-06-04 11:53:00,208.44,Linden,ULSHO,207.98,56.8,35.24,2.2945,2.2915
QuickStop Stations,2025-06-04 12:14:00,172.73,Linden,RBOB,172.67,59.6,60.18,2.2639,2.2609
Sterling Distributors,2025-06-04 12:53:00,137.67,Providence,ULSD,138.05,63.9,35.69,2.4198,2.4046
Spot Partners,2025-06-04 17:15:00,427.28,Albany,ULSD,427.0,59.1,34.97,2.4378,2.4046
ROADKING MART ,2025-06-05 07:20:00,148.05,Linden,ULSD,149.13,70.4,35.08,2.4981,2.4951
Snowbelt Fuel Oil,2025-06-05 08:31:00,165.53,Providence,ULSHO,166.32,66.8,34.35,2.3925,2.3733
Colonial Distributors,2025-06-05 12:47:00,173.13,Providence,ULSD,174.4,70.4,35.7,2.5038,2.4951
Snowbelt Oil & Propane Inc,2025-06-06 06:41:00,220.3,Linden,ULSHO,222.14,71.9,34.84,2.4004,2.3974
FuelExpress Retail,2025-06-06 08:41:00,58.15,Linden,RBOB,58.52,66.7,60.49,2.2361,2.2331
Liberty Fuels,2025-06-06 12:06:00,159.72,Providence,ULSD,159.39,57.0,35.96,2.5485,2.5344
Hudson Distributors,2025-06-06 13:40:00,178.13,Albany,RBOB,178.23,60.6,60.05,2.2598,2.2331
PitStop Markets,2025-06-06 15:58:00,152.49,Albany,ULSD,153.05,65.2,35.09,2.5633,2.5344
Granite Oil Co,2025-06-07 07:39:00,201.72,Providence,RBOB,201.65,59.6,60.03,2.2735,2.2548
Hearth Fuel Oil,2025-06-07 10:17:00,223.56,Providence,ULSD,225.07,69.6,35.92,2.5525,2.5287
Sterling Oil Co,2025-06-07 15:53:00,165.28,Linden,ULSD,166.11,67.1,35.39,2.5341,2.5287
STERLING DISTRIBUTORS ,2025-06-07 16:20:00,144.33,Providence,ULSD,144.23,59.0,35.87,2.5506,2.5287
Colonial Distributors,2025-06-08 08:39:00,226.86,Providence,ULSD,227.44,63.7,35.94,2.5271,2.5156
Cardinal Oil & Propane,2025-06-08 13:11:00,180.96,Linden,ULSHO,181.73,66.1,34.9,2.4118,2.4088
Atlantic Distributors,2025-06-08 13:16:00,167.97,Providence,ULSD,169.45,72.5,35.64,2.5279,2.5156
RoadKing Mart,2025-06-09 08:37:00,95.57,Linden,ULSD,95.93,65.4,36.23,2.4832,2.4802
CARDINAL HEATING OIL ,2025-06-09 08:53:00,221.36,Linden,ULSHO,221.93,63.7,34.7,2.3668,2.3638
Hudson Distributors,2025-06-09 10:50:00,200.44,Albany,RBOB,201.85,67.4,60.3,2.2513,2.2196
QuickStop Stations,2025-06-09 11:41:00,155.9,Linden,RBOB,156.05,61.0,60.27,2.2226,2.2196
Keystone Distributors,2025-06-09 15:21:00,97.33,Providence,ULSD,97.86,67.8,35.68,2.4919,2.4802
PitStop Markets,2025-06-09 17:31:00,138.87,Albany,RBOB,138.98,60.9,58.82,2.2503,2.2196
FuelExpress Retail,2025-06-09 17:51:00,71.91,Linden,RBOB,72.06,62.2,59.88,2.2226,2.2196
Vector Trading,2025-06-10 06:04:00,371.61,Albany,RBOB,373.23,64.6,60.12,2.2274,2.1898
Vector Partners,2025-06-10 07:04:00,235.61,Linden,RBOB,236.15,62.4,59.84,2.2065,2.1898
SterlingDistributors,2025-06-10 08:02:00,132.65,Providence,ULSD,132.71,60.7,35.43,2.4598,2.4436
Snowbelt Fuel Oil,2025-06-10 12:50:00,153.21,Providence,ULSHO,153.66,64.2,35.17,2.3459,2.3225
Spot Partners,2025-06-10 12:50:00,369.01,Albany,RBOB,369.15,60.4,60.48,2.2228,2.1898
Granite Oil Co,2025-06-10 12:55:00,195.2,Providence,RBOB,194.83,58.0,59.66,2.2097,2.1898
Apex Commodities,2025-06-11 06:28:00,250.39,Linden,RBOB,250.09,58.7,60.13,2.2123,2.2006
Sterling Oil Co,2025-06-11 06:43:00,182.78,Linden,RBOB,184.05,67.3,60.88,2.2071,2.2006
RoadKing Mart,2025-06-11 07:53:00,182.02,Linden,ULSD,183.18,69.0,35.74,2.4138,2.4108
Liberty Fuels,2025-06-11 12:03:00,163.39,Providence,ULSD,164.43,69.0,35.81,2.418,2.4108
Hudson Distributors,2025-06-12 07:41:00,187.21,Albany,RBOB,188.9,69.5,59.67,2.209,2.1789
QuickStop Stations,2025-06-12 08:12:00,119.05,Linden,RBOB,119.87,67.2,59.45,2.1819,2.1789
Mariner Shipping,2025-06-12 09:25:00,2969.94,Linden,ULSD,2980.18,64.9,36.35,2.3998,2.3908
SnowbeltOil&Propane,2025-06-12 10:50:00,225.09,Linden,ULSHO,226.01,65.8,34.65,2.3512,2.3482
FuelExpress Retail,2025-06-12 11:19:00,69.82,Linden,RBOB,70.41,68.8,59.96,2.1819,2.1789
Hearth Fuel Oil,2025-06-12 13:24:00,139.09,Providence,ULSD,139.76,66.9,35.87,2.4085,2.3908
Colonial Distributors,2025-06-12 14:22:00,198.87,Providence,ULSD,199.96,67.8,35.4,2.4026,2.3908
Atlantic Distributors,2025-06-12 15:04:00,171.25,Providence,RBOB,173.56,74.0,59.64,2.1919,2.1789
PitStop Markets,2025-06-12 16:26:00,116.56,Albany,ULSD,117.01,65.4,35.75,2.4242,2.3908
Cardinal Oil & Propane,2025-06-13 08:01:00,172.96,Linden,ULSD,174.52,72.7,35.82,2.3902,2.3829
  Cardinal Heating Oil Dist,2025-06-13 13:30:00,176.75,Linden,ULSHO,176.17,55.3,35.5,2.3421,2.3354
Tactical Commodities,2025-06-13 14:18:00,481.39,Providence,RBOB,481.57,60.4,60.24,2.1473,2.1321
Granite Oil Co,2025-06-13 14:32:00,219.56,Providence,RBOB,220.51,64.6,60.76,2.1425,2.1321
Sterling Distributors,2025-06-13 15:59:00,146.2,Providence,ULSD,146.56,63.5,36.15,2.3964,2.3829
Snowbelt Fuel Oil,2025-06-13 16:17:00,172.41,Providence,ULSHO,173.42,68.3,35.55,2.3501,2.3354
RoadKingMart,07/22/2023,122.74,Linden,ULSD,122.55,57.9,35.44,2.387,2.3829
Keystone Distributors,2025-06-14 08:12:00,168.12,Providence,ULSD,168.67,64.7,35.76,2.4155,2.397
Hudson Distributors,2025-06-14 10:36:00,224.72,Albany,RBOB,225.25,62.5,59.59,2.1913,2.1784
Sterling Oil Co,2025-06-15 06:51:00,155.41,Linden,ULSD,155.8,63.5,36.37,2.3889,2.3816
Colonial Distributors,2025-06-15 14:36:00,210.21,Providence,ULSD,211.49,68.6,36.12,2.3929,2.3816
